name,d2018,d2017,d2016,industry,coding,T_ind,market_value
ＳＯＭＰＯホールディングス(株)【8630】,‥,‥,‥,保険業,8630,保険業,"1,836,039"
(株)日本取引所グループ【8697】,74565,68533,69535,その他金融業,8697,その他金融業,"1,481,403"
ＭＳ＆ＡＤインシュアランスグループホールディングス(株)【8725】,‥,‥,‥,保険業,8725,保険業,"2,189,318"
第一生命ホールディングス(株)【8750】,‥,‥,‥,保険業,8750,保険業,"2,709,137"
東京海上ホールディングス(株)【8766】,‥,‥,‥,保険業,8766,保険業,"4,256,843"
(株)Ｔ＆Ｄホールディングス【8795】,‥,‥,‥,保険業,8795,保険業,"894,102"
三井不動産(株)【8801】,203770,280617,262147,不動産業,8801,不動産業,"2,521,356"
三菱地所(株)【8802】,224394,240768,229178,不動産業,8802,不動産業,"2,441,349"
東京建物(株)【8804】,49631,52410,46765,不動産業,8804,不動産業,"350,147"
住友不動産(株)【8830】,219244,234332,220419,不動産業,8830,不動産業,"1,951,000"
スターツコーポレーション(株)【8850】,22068,23912,22821,不動産業,8850,不動産業,"150,115"
(株)リログループ【8876】,12496,17874,17867,サービス業,8876,サービス業,"360,047"
(株)日本エスコン【8892】,12202,12912,11561,不動産業,8892,不動産業,"79,851"
イオンモール(株)【8905】,34394,60794,52987,不動産業,8905,不動産業,"390,929"
(株)カチタス【8919】,11343,10121,9104,不動産業,8919,不動産業,"319,322"
東武鉄道(株)【9001】,-13577,62653,67295,陸運業,9001,陸運業,"598,813"
東急(株)【9005】,-31658,68760,81971,陸運業,9005,陸運業,"1,012,914"
小田急電鉄(株)【9007】,-24190,41103,52089,陸運業,9007,陸運業,"919,033"
京王電鉄(株)【9008】,-20866,36024,40078,陸運業,9008,陸運業,"748,166"
京成電鉄(株)【9009】,-18056,28320,31608,陸運業,9009,陸運業,"635,335"
東日本旅客鉄道(株)【9020】,-520358,380841,484860,陸運業,9020,陸運業,"2,747,569"
西日本旅客鉄道(株)【9021】,-245544,160628,196946,陸運業,9021,陸運業,"1,298,821"
東海旅客鉄道(株)【9022】,-184751,656163,709775,陸運業,9022,陸運業,"3,511,270"
阪急阪神ホールディングス(株)【9042】,2066,95170,114937,陸運業,9042,陸運業,"886,171"
日本通運(株)【9062】,78100,59224,79598,陸運業,9062,陸運業,"712,320"
ヤマトホールディングス(株)【9064】,92121,44701,58345,陸運業,9064,陸運業,"1,093,452"
山九(株)【9065】,33928,40374,39247,陸運業,9065,陸運業,"340,425"
センコーグループホールディングス(株)【9069】,21520,20656,19631,陸運業,9069,陸運業,"157,541"
(株)日立物流【9086】,41050,34356,30353,陸運業,9086,陸運業,"408,734"
(株)丸和運輸機関【9090】,8019,7194,5814,陸運業,9090,陸運業,"199,425"
日本郵船(株)【9101】,71537,38696,11085,海運業,9101,海運業,"1,321,328"
(株)商船三井【9104】,-5303,23779,37718,海運業,9104,海運業,"791,324"
川崎汽船(株)【9107】,-21286,6840,-24736,海運業,9107,海運業,"475,327"
九州旅客鉄道(株)【9142】,-22873,49406,63885,陸運業,9142,陸運業,"405,524"
ＳＧホールディングス(株)【9143】,101726,75447,70359,陸運業,9143,陸運業,"1,825,124"
ＡＮＡホールディングス(株)【9202】,-464774,60806,165019,空運業,9202,空運業,"1,307,108"
三菱倉庫(株)【9301】,11735,12195,12660,倉庫・運輸関連業,9301,倉庫・運輸関連業,"282,794"
(株)近鉄エクスプレス【9375】,34177,19714,20797,倉庫・運輸関連業,9375,倉庫・運輸関連業,"197,424"
日本電信電話(株)【9432】,1671391,1562151,1693833,情報・通信,9432,情報・通信,"12,170,461"
ＫＤＤＩ(株)【9433】,1037395,1025237,1013729,情報・通信,9433,情報・通信,"8,500,118"
ソフトバンク(株)【9434】,970770,911725,719459,情報・通信,9434,情報・通信,"7,326,726"
(株)光通信【9435】,69257,73004,64277,情報・通信,9435,情報・通信,"831,842"
東京電力ホールディングス(株)【9501】,143460,211841,312257,電気・ガス業,9501,電気・ガス業,"544,779"
中部電力(株)【9502】,145694,130832,125924,電気・ガス業,9502,電気・ガス業,"978,957"
関西電力(株)【9503】,145746,206956,204853,電気・ガス業,9503,電気・ガス業,"1,006,322"
中国電力(株)【9504】,34283,48170,19530,電気・ガス業,9504,電気・ガス業,"382,509"
東北電力(株)【9506】,87919,116350,83633,電気・ガス業,9506,電気・ガス業,"389,231"
九州電力(株)【9508】,77397,63813,86575,電気・ガス業,9508,電気・ガス業,"396,418"
北海道電力(株)【9509】,53775,42415,42217,電気・ガス業,9509,電気・ガス業,"111,737"
イーレックス(株)【9517】,15720,9246,4702,電気・ガス業,9517,電気・ガス業,"153,795"
(株)レノバ【9519】,4605,7153,5025,電気・ガス業,9519,電気・ガス業,"373,894"
東京ガス(株)【9531】,77675,101508,93704,電気・ガス業,9531,電気・ガス業,"835,468"
大阪ガス(株)【9532】,112491,83792,67977,電気・ガス業,9532,電気・ガス業,"786,692"
東宝(株)【9602】,22447,52857,44982,情報・通信,9602,情報・通信,"1,020,104"
(株)ＮＴＴデータ【9613】,139173,130937,147716,情報・通信,9613,情報・通信,"3,105,135"
(株)アインホールディングス【9627】,10932,16068,16067,小売業,9627,小売業,"237,369"
(株)カナモト【9678】,14250,17842,17599,サービス業,9678,サービス業,"96,003"
(株)スクウェア・エニックス・ホールディングス【9684】,47226,32759,24531,情報・通信,9684,情報・通信,"753,569"
(株)カプコン【9697】,34596,22827,18144,情報・通信,9697,情報・通信,"914,264"
ＳＣＳＫ(株)【9719】,45878,42326,38378,情報・通信,9719,情報・通信,"725,105"
セコム(株)【9735】,136925,142858,130213,サービス業,9735,サービス業,"1,834,423"
(株)メイテック【9744】,10234,12926,12635,サービス業,9744,サービス業,"188,760"
コナミホールディングス(株)【9766】,36550,30972,50522,情報・通信,9766,情報・通信,"938,490"
イオンディライト(株)【9787】,15230,16001,13030,サービス業,9787,サービス業,"182,552"
日鉄物産(株)【9810】,22277,32088,36170,卸売業,9810,卸売業,"160,731"
(株)ニトリホールディングス【9843】,137687,107478,100779,小売業,9843,小売業,"2,284,864"
(株)ミスミグループ本社【9962】,27199,23640,31874,卸売業,9962,卸売業,"1,363,263"
(株)ファーストリテイリング【9983】,249011,149347,257636,小売業,9983,小売業,"7,720,041"
ソフトバンクグループ(株)【9984】,8132438,-1364633,2353931,情報・通信,9984,情報・通信,"11,388,724"
