d2021,d2020,d2019,d2018,d2017,industry,coding,title,market_value,returns_ratio,min_callshares
29470,22596,12072,36246,46979,ゴム製品,5110,住友ゴム工業(株),"376,941",3.84,"143,300"
123840,32715,44434,89593,69225,ガラス・土石製品,5201,ＡＧＣ(株),"1,296,416",3.68,"570,000"
－16930,－18925,13287,6164,5605,ガラス・土石製品,5202,日本板硝子(株),"57,834",0.00,"63,600"
27904,15252,－33669,15199,27184,ガラス・土石製品,5214,日本電気硝子(株),"281,153",3.89,"282,500"
11719,10922,7799,14659,16210,ガラス・土石製品,5232,住友大阪セメント(株),"122,903",3.64,"330,000"
46800,39151,43452,38525,47597,ガラス・土石製品,5233,太平洋セメント(株),"297,644",2.87,"244,000"
16105,1019,31994,73393,12346,ガラス・土石製品,5301,東海カーボン(株),"328,642",2.05,"146,100"
27199,23583,32380,36798,32960,ガラス・土石製品,5332,ＴＯＴＯ(株),"1,014,103",1.40,"573,000"
38496,27135,35506,45814,36379,ガラス・土石製品,5333,日本ガイシ(株),"603,972",3.15,"190,400"
38367,33698,40515,44335,25602,ガラス・土石製品,5334,日本特殊陶業(株),"349,140",4.33,"171,000"
10715,14674,15861,14956,13409,ガラス・土石製品,5393,ニチアス(株),"184,177",3.02,"271,600"
－32432,－431513,251169,180832,130946,鉄鋼,5401,日本製鉄(株),"1,844,099",---,"194,050"
23234,－68008,35940,63188,－23045,鉄鋼,5406,(株)神戸製鋼所,"236,472",---,"64,900"
－21868,－197744,163509,97635,67939,鉄鋼,5411,ジェイ　エフ　イー　ホールディングス(株),"1,031,028",---,"167,800"
1162,625,3693,－810,－3561,鉄鋼,5541,大平洋金属(株),"40,329",0.73,"206,000"
6893,9310,19966,10712,－4968,機械,5631,(株)日本製鋼所,"248,035",1.35,"333,500"
3366,7476,20560,18012,19520,非鉄金属,5703,日本軽金属ホールディングス(株),"119,152",4.42,"192,200"
44771,1566,4691,－708,18674,非鉄金属,5706,三井金属,"190,269",2.56,"332,000"
5508,－18364,－2550,10373,8814,非鉄金属,5707,東邦亜鉛(株),"43,406",1.56,"319,500"
24407,－72850,1298,34595,28352,非鉄金属,5711,三菱マテリアル(株),"291,644",2.25,"221,800"
94604,60600,66790,90227,－18540,非鉄金属,5713,住友金属鉱山(株),"1,274,347",3.04,"438,200"
21824,17395,14986,24693,26169,非鉄金属,5714,ＤＯＷＡホールディングス(株),"296,928",1.98,"479,000"
10001,17639,29108,28547,17570,非鉄金属,5801,古河電気工業(株),"180,837",2.34,"255,900"
56344,72720,118063,120328,107562,非鉄金属,5802,住友電気工業(株),"1,211,553",3.28,"152,600"
－5369,－38510,1453,18359,12900,非鉄金属,5803,(株)フジクラ,"195,566",---,"66,100"
25725,9846,9000,9416,－1213,非鉄金属,5857,アサヒホールディングス(株),"174,961",4.10,"219,500"
21251,21647,20910,18280,17070,金属製品,5929,三和ホールディングス(株),"327,096",2.40,"141,600"
27581,21561,20480,21194,22322,金属製品,5947,リンナイ(株),"583,746",1.20,"1,167,000"
12695,13746,12280,10363,9012,機械,6005,三浦工業(株),"539,378",0.84,"430,500"
13245,10825,9683,8498,7717,サービス業,6028,テクノプロ・ホールディングス(株),"391,943",1.47,"361,500"
2802,2445,976,821,694,サービス業,6035,(株)アイ・アールジャパンホールディングス,"186,960",1.08,"1,048,000"
6140,5596,5514,4100,3050,サービス業,6055,ジャパンマテリアル(株),"159,932",1.12,"152,100"
131393,179880,174280,151667,136654,サービス業,6098,(株)リクルートホールディングス,"11,897,160",0.30,"701,500"
2088,10712,18521,14226,10241,機械,6103,オークマ(株),"182,278",1.30,"540,000"
18564,23390,33303,27094,25894,機械,6113,(株)アマダ,"408,673",2.99,"113,800"
17167,14963,16855,17523,7054,機械,6134,(株)ＦＵＪＩ,"253,364",2.32,"259,000"
10989,5639,13686,14710,13993,機械,6136,ＯＳＧ,"181,075",1.68,"184,400"
13460,1745,17995,18517,15263,機械,6141,ＤＭＧ森精機(株),"242,713",1.56,"192,700"
39091,27653,28824,37171,24203,機械,6146,(株)ディスコ,"1,118,860",---,"3,100,000"
418238,483733,479419,460623,－28976,サービス業,6178,日本郵政(株),"3,303,669",5.70,"87,680"
7252,7006,5397,5604,4304,サービス業,6183,(株)ベルシステム２４ホールディングス,"115,014",3.07,"156,100"
136700,145881,152748,168180,131398,輸送用機器,6201,(株)豊田自動織機,"3,115,037",1.78,"956,000"
6796,9101,7745,4815,1466,機械,6235,(株)オプトラン,"100,870",2.20,"227,400"
64818,20505,17931,21029,25146,機械,6268,ナブテスコ(株),"475,782",1.96,"393,000"
121790,110500,130631,136869,113095,機械,6273,ＳＭＣ(株),"4,563,600",0.89,"6,774,000"
106237,153844,256491,196410,113381,機械,6301,コマツ,"2,814,338",2.14,"289,200"
26764,32807,45650,34660,33613,機械,6302,住友重機械工業(株),"347,331",2.48,"282,600"
10340,41171,68542,60004,8022,機械,6305,日立建機(株),"732,467",---,"340,500"
128524,149061,138595,134160,132485,機械,6326,(株)クボタ,"2,896,959",---,"239,700"
24473,23349,18262,9531,20587,機械,6361,荏原,"585,474",2.12,"613,000"
156249,170731,189048,189051,153938,機械,6367,ダイキン工業(株),"7,497,855",0.70,"2,558,000"
32390,28063,39567,29008,16746,機械,6383,(株)ダイフク,"1,306,616",0.82,"1,032,000"
9765,9091,11391,9547,7757,機械,6432,(株)竹内製作所,"142,097",2.00,"290,000"
24520,49566,53902,50020,47242,電気機器,6448,ブラザー工業(株),"608,352",2.59,"232,000"
21679,11442,24437,25717,23144,機械,6465,ホシザキ(株),"705,445",1.13,"974,000"
355,17412,55809,69312,45560,機械,6471,日本精工(株),"442,117",3.12,"80,200"
－11641,－43992,－6958,20373,2830,機械,6472,ＮＴＮ(株),"141,103",0.00,"26,500"
800,－3794,27248,49697,47522,機械,6473,(株)ジェイテクト,"352,555",1.56,"102,700"
38759,45975,60142,50326,41146,電気機器,6479,ミネベアミツミ(株),"1,202,232",---,"281,500"
501613,87596,222546,362988,231261,電気機器,6501,(株)日立製作所,"6,472,650",---,"668,500"
193132,221834,226648,255755,210493,電気機器,6503,三菱電機(株),"3,400,094",---,"158,350"
41926,28793,40267,37763,40978,電気機器,6504,富士電機(株),"752,457",---,"504,000"
18927,15572,42524,39749,20397,電気機器,6506,(株)安川電機,"1,321,451",1.05,"495,500"
10014,5912,3103,2866,2097,サービス業,6532,(株)ベイカレント・コンサルティング,"709,453",0.42,"4,565,000"
2362,1700,1265,848,271,サービス業,6544,ジャパンエレベーターサービスホールディングス(株),"211,500",---,"238,300"
62018,47731,55750,54943,44782,機械,6586,(株)マキタ,"1,584,899",---,"566,000"
121977,58459,109960,130834,111007,電気機器,6594,日本電産(株),"7,507,221",0.48,"1,259,000"
43307,74895,54323,63159,45987,電気機器,6645,オムロン(株),"2,190,321",0.81,"1,062,000"
10005,7527,6655,5811,5030,電気機器,6670,(株)ＭＣＪ,"127,320",2.44,"125,100"
11455,13674,13524,11449,12229,電気機器,6674,(株)ジーエス・ユアサ　コーポレーション,"208,855",1.98,"252,500"
149606,99967,39675,45870,27310,電気機器,6701,ＮＥＣ,"1,705,312",1.60,"625,000"
202700,160042,104562,169340,88489,電気機器,6702,富士通(株),"4,448,469",1.02,"2,149,000"
－205,14086,8405,5891,4691,電気機器,6703,ＯＫＩ,"83,380",3.14,"95,600"
127261,45626,－6317,50989,102025,電気機器,6723,ルネサスエレクトロニクス(株),"2,694,778",---,"139,100"
30922,7733,53710,41836,48320,電気機器,6724,セイコーエプソン(株),"848,824",2.92,"212,400"
10226,3917,3851,2362,－5534,電気機器,6727,(株)ワコム,"120,413",2.07,"72,300"
14830,10769,18665,35904,24469,電気機器,6728,(株)アルバック,"308,475",1.76,"625,000"
10752,9705,7739,7224,6341,電気機器,6750,エレコム(株),"157,699",2.16,"171,000"
165077,225707,284149,236040,149360,電気機器,6752,パナソニック(株),"3,382,655",---,"137,850"
53263,13726,64012,70225,－24877,電気機器,6753,シャープ(株),"839,599",---,"137,200"
16105,13355,8956,2880,2698,電気機器,6754,アンリツ(株),"289,327",1.91,"209,200"
1171776,582191,916271,490794,73289,電気機器,6758,ソニーグループ(株),"16,160,468",---,"1,281,500"
79340,57780,82205,63463,145099,電気機器,6762,ＴＤＫ(株),"1,522,042",1.63,"391,500"
－3837,－4009,22114,47390,34920,電気機器,6770,アルプスアルパイン(株),"254,805",1.72,"116,200"
19219,14686,28446,21481,25748,電気機器,6841,横河電機(株),"591,780",1.54,"220,300"
19918,19793,18951,17890,13153,電気機器,6845,アズビル(株),"697,690",1.25,"480,500"
18243,9854,11191,9154,9149,電気機器,6849,日本光電,"324,755",1.07,"366,000"
13188,15481,22313,16281,12962,電気機器,6856,(株)堀場製作所,"321,548",1.72,"756,000"
69787,53532,56993,18103,14201,電気機器,6857,(株)アドバンテスト,"1,817,830",---,"911,000"
197289,198124,226147,210595,120680,電気機器,6861,(株)キーエンス,"16,345,988",0.30,"6,721,000"
33142,34883,41224,39222,40636,電気機器,6869,シスメックス(株),"2,931,751",0.53,"1,399,500"
125055,68099,254524,320561,257619,輸送用機器,6902,(株)デンソー,"6,140,455",1.80,"779,300"
19250,10823,5933,4366,3534,電気機器,6920,レーザーテック(株),"2,433,532",0.32,"2,581,000"
22918,18550,40265,36008,28685,電気機器,6923,スタンレー電気(株),"489,855",1.77,"282,500"
12014,17588,22135,19563,18410,電気機器,6952,カシオ計算機(株),"430,752",---,"166,300"
94012,73371,154163,181957,127697,電気機器,6954,ファナック(株),"4,925,580",---,"2,439,500"
25053,16523,19918,21222,17777,電気機器,6965,浜松ホトニクス(株),"1,104,130",0.72,"669,000"
90214,107721,103210,79137,103843,電気機器,6971,京セラ(株),"2,530,800",2.39,"670,200"
28615,18022,23687,16355,5428,電気機器,6976,太陽誘電(株),"720,108",1.08,"553,000"
237057,183012,206930,146086,156060,電気機器,6981,(株)村田製作所,"5,728,202",1.42,"847,600"
70235,47156,66560,87377,63453,化学,6988,日東電工(株),"1,201,063",2.74,"802,000"
134,－86210,－69599,－10137,12194,機械,7003,(株)三井Ｅ＆Ｓホールディングス,"45,954",0.00,"55,300"
4258,2197,5445,2171,5864,機械,7004,日立造船(株),"147,746",1.38,"86,800"
40639,87123,110271,－7320,87720,機械,7011,三菱重工業(株),"1,006,022",3.02,"298,200"
－19332,18662,27453,28915,26204,輸送用機器,7012,川崎重工業(株),"395,960",1.27,"235,800"
13093,8204,39889,8291,5247,機械,7013,(株)ＩＨＩ,"417,172",2.22,"269,700"
2946,1136,10035,8989,9580,証券業,7148,(株)ＦＰＧ,"62,084",2.65,"69,700"
27002,24430,24134,22052,19530,その他金融業,7164,全国保証(株),"369,153",2.43,"536,000"
36478,36370,46338,43069,158455,銀行業,7167,(株)めぶきフィナンシャルグループ,"280,615",4.62,"23,800"
25326,46536,54285,66413,126656,銀行業,7186,(株)コンコルディア・フィナンシャルグループ,"564,891",3.43,"46,700"
－448697,－671216,319138,746892,663499,輸送用機器,7201,日産自動車(株),"2,478,404",---,"58,720"
42708,81232,113444,105663,93858,輸送用機器,7202,いすゞ自動車(株),"1,163,831",3.87,"149,700"
2245261,2036140,1882873,2493983,1831109,輸送用機器,7203,トヨタ自動車(株),"32,360,778",---,"198,350"
－7489,31467,54908,51361,49408,輸送用機器,7205,日野自動車(株),"640,083",1.26,"111,400"
－312317,－25779,132871,107619,－198524,輸送用機器,7211,三菱自動車(株),"549,914",0.00,"36,900"
105638,24061,110123,134551,126653,輸送用機器,7259,(株)アイシン,"1,227,320",4.08,"416,500"
－31651,12131,63155,112057,93780,輸送用機器,7261,マツダ(株),"662,131",1.43,"104,800"
657425,455746,610316,1059337,616569,輸送用機器,7267,ホンダ,"6,189,651",3.22,"341,700"
146421,134222,178759,215730,159956,輸送用機器,7269,スズキ(株),"2,509,635",---,"511,000"
76510,152587,141418,220354,282354,輸送用機器,7270,(株)ＳＵＢＡＲＵ,"1,750,260",2.46,"227,550"
155578,53072,75736,93366,101603,輸送用機器,7272,ヤマハ発動機(株),"1,099,683",3.18,"314,000"
37612,58022,72895,83397,56692,電気機器,7276,(株)小糸製作所,"1,062,818",---,"661,000"
35205,11226,23309,21361,16233,輸送用機器,7282,豊田合成(株),"299,761",3.04,"230,500"
115937,63472,51833,53931,38443,輸送用機器,7309,(株)シマノ,"2,751,930",0.79,"2,968,000"
20741,15064,25750,30115,19622,輸送用機器,7313,テイ・エス　テック(株),"205,088",3.58,"150,800"
52827,15911,14817,13634,10158,小売業,7419,(株)ノジマ,"144,124",1.71,"281,000"
33903,－16917,23253,33845,30113,小売業,7453,(株)良品計画,"621,647",1.81,"221,400"
23926,37968,34359,34780,29011,卸売業,7459,(株)メディパルホールディングス,"521,571",1.97,"213,300"
18649,11830,10854,10031,6072,小売業,7516,コーナン商事(株),"125,202",1.94,"361,000"
53851,49927,47066,36405,33082,小売業,7532,(株)パン・パシフィック・インターナショナルホールディングス,"1,541,959",0.68,"243,100"
2259,11978,9924,8001,8443,小売業,7550,(株)ゼンショーホールディングス,"405,895",0.76,"262,100"
2000,7748,7723,7478,5350,卸売業,7575,日本ライフライン(株),"109,765",2.96,"128,500"
21120,20782,17940,16411,14947,小売業,7649,スギホールディングス(株),"516,780",0.98,"816,000"
36097,31766,32523,29838,26473,精密機器,7701,(株)島津製作所,"1,369,325",0.76,"462,500"
3513,3251,10901,7837,2813,精密機器,7717,(株)ブイ・テクノロジー,"43,600",2.77,"433,500"
12175,7156,14665,12717,9909,精密機器,7729,(株)東京精密,"188,468",2.89,"450,500"
－34497,7693,66513,34772,3967,精密機器,7731,(株)ニコン,"491,081",2.31,"129,800"
12918,51670,8147,57064,42783,精密機器,7733,オリンパス(株),"3,258,630",0.56,"250,800"
15164,5010,18059,28507,24168,電気機器,7735,(株)ＳＣＲＥＥＮホールディングス,"481,535",1.90,"948,000"
125446,114406,122103,99494,86740,精密機器,7741,ＨＯＹＡ(株),"6,418,027",---,"1,736,000"
9984,9178,11237,10042,7725,精密機器,7747,朝日インテック(株),"814,901",0.39,"300,000"
214718,83318,124964,252755,241923,電気機器,7751,キヤノン(株),"3,797,891",3.16,"284,750"
－32730,39546,49526,－135372,3489,電気機器,7752,(株)リコー,"841,006",2.30,"112,900"
－25173,－16667,13369,19303,16573,精密機器,7762,シチズン時計(株),"160,949",3.52,"51,200"
48894,57665,63383,54109,44159,その他製品,7832,(株)バンダイナムコホールディングス,"1,924,740",0.55,"867,000"
9933,13277,14589,15497,14454,その他製品,7846,(株)パイロットコーポレーション,"177,293",1.42,"424,000"
81997,87047,41049,42267,32535,その他製品,7911,凸版印刷(株),"647,656",2.16,"185,200"
25088,69497,－35668,27501,25226,その他製品,7912,大日本印刷(株),"893,983",2.27,"281,800"
12211,10777,9901,9178,10953,化学,7947,(株)エフピコ,"326,857",1.22,"386,500"
26615,34621,40337,54378,46719,その他製品,7951,ヤマハ(株),"1,363,872",0.93,"712,000"
10643,11538,14238,14515,11118,その他製品,7956,ピジョン(株),"301,822",2.98,"248,100"
480376,258641,194009,139590,102574,その他製品,7974,任天堂(株),"6,496,047",2.86,"5,002,000"
18402,18321,20753,21198,20364,化学,7988,(株)ニフコ,"387,032",1.72,"360,000"
401433,501322,500523,400333,352221,卸売業,8001,伊藤忠商事(株),"5,150,891",2.89,"325,000"
225343,－197450,230891,211259,155350,卸売業,8002,丸紅(株),"1,649,813",3.58,"94,900"
134602,135551,132622,130228,107903,卸売業,8015,豊田通商(株),"1,729,566",2.46,"488,500"
13315,14399,16605,16317,8049,卸売業,8020,兼松(株),"112,639",4.50,"133,300"
335458,391513,414215,418479,306136,卸売業,8031,三井物産(株),"4,228,245",3.50,"257,450"
242941,185206,248228,204371,115208,電気機器,8035,東京エレクトロン(株),"7,978,454",2.34,"5,075,000"
－153067,171359,320523,308521,170889,卸売業,8053,住友商事(株),"2,000,996",4.38,"159,900"
17076,18182,14238,11949,10261,情報・通信,8056,日本ユニシス(株),"344,892",2.23,"314,500"
172550,535353,590737,560173,440293,卸売業,8058,三菱商事(株),"5,287,689",3.77,"355,900"
23207,20994,19221,17577,16546,卸売業,8088,岩谷産業(株),"392,363",1.12,"670,000"
10734,10770,9243,5174,3424,繊維製品,8111,(株)ゴールドウイン,"311,260",1.07,"656,000"
52344,46116,61353,52772,46971,化学,8113,ユニ・チャーム(株),"2,737,879",0.82,"441,000"
17824,7834,7401,6555,8110,小売業,8194,(株)ライフコーポレーション,"184,699",1.87,"373,500"
－33970,16028,16443,23658,20870,小売業,8233,(株)高島屋,"196,780",2.17,"110,700"
2327,25396,25341,20907,18724,小売業,8252,(株)丸井グループ,"502,118",2.32,"224,500"
36132,22863,30517,38446,42253,その他金融業,8253,(株)クレディセゾン,"267,226",3.12,"144,100"
－71024,26838,23637,24522,11255,小売業,8267,イオン(株),"2,281,827",1.38,"261,700"
23053,19953,23488,26932,17015,小売業,8273,(株)イズミ,"261,936",2.35,"365,500"
14593,12458,11798,11004,9927,小売業,8279,(株)ヤオコー,"266,892",1.09,"667,000"
38734,21525,23807,22706,20154,小売業,8282,(株)ケーズホールディングス,"267,975",3.36,"119,100"
19317,25412,19767,17453,14605,卸売業,8283,(株)ＰＡＬＴＡＣ,"331,749",1.49,"522,000"
45109,45575,52319,51414,50759,銀行業,8303,(株)新生銀行,"494,756",---,"191,000"
28972,28142,36130,43064,43849,銀行業,8304,(株)あおぞら銀行,"318,553",4.75,"269,300"
777018,528151,872689,989664,926440,銀行業,8306,(株)三菱ＵＦＪフィナンシャル・グループ,"8,864,968",4.14,"65,270"
124481,152426,175162,236251,161485,銀行業,8308,(株)りそなホールディングス,"1,067,306",4.77,"44,030"
142196,163028,173889,153986,121446,銀行業,8309,三井住友トラスト・ホールディングス(株),"1,448,625",4.15,"386,000"
512812,703883,726681,734368,706519,銀行業,8316,(株)三井住友フィナンシャルグループ,"5,311,910",5.17,"386,500"
49641,48037,50478,53796,52730,銀行業,8331,(株)千葉銀行,"597,777",3.00,"73,300"
44647,110607,51649,49369,－54300,銀行業,8354,(株)ふくおかフィナンシャルグループ,"404,066",4.49,"211,400"
43638,38703,46874,50130,29276,銀行業,8355,(株)静岡銀行,"563,587",2.64,"94,700"
25905,26162,13236,25301,25114,銀行業,8410,(株)セブン銀行,"290,110",4.47,"24,600"
471020,448568,96566,576547,603544,銀行業,8411,(株)みずほフィナンシャルグループ,"3,886,322",4.90,"153,050"
