d2021,d2020,d2019,d2018,d2017,industry,coding,title,market_value,returns_ratio,min_callshares
22304,42277,46252,68448,41429,電気・ガス業,9513,Ｊ－ＰＯＷＥＲ,"283,912",4.84,"155,100"
6285,4515,2764,3038,1917,電気・ガス業,9517,イーレックス(株),"153,795",0.77,"259,700"
11507,3536,1659,800,2023,電気・ガス業,9519,(株)レノバ,"373,894",0.00,"476,000"
49505,43293,84555,74987,53134,電気・ガス業,9531,東京ガス(株),"835,468",3.17,"189,450"
80857,41788,33601,37724,61271,電気・ガス業,9532,大阪ガス(株),"786,692",2.91,"188,800"
14688,36609,30197,33553,33252,情報・通信,9602,東宝(株),"1,020,104",0.64,"547,000"
76843,75148,93616,82392,65686,情報・通信,9613,(株)ＮＴＴデータ,"3,105,135",0.86,"221,400"
6697,9179,9029,10567,7949,小売業,9627,(株)アインホールディングス,"237,369",0.82,"670,000"
8907,8466,11430,11857,10744,サービス業,9678,(株)カナモト,"96,003",2.82,"247,800"
26942,21346,19373,25821,20039,情報・通信,9684,(株)スクウェア・エニックス・ホールディングス,"753,569",0.99,"615,000"
24923,15949,12551,10937,8879,情報・通信,9697,(株)カプコン,"914,264",1.07,"337,500"
33435,28765,27892,32488,28458,情報・通信,9719,ＳＣＳＫ(株),"725,105",2.01,"232,000"
74681,89080,92009,86993,84170,サービス業,9735,セコム(株),"1,834,423",2.23,"786,300"
7028,9093,8829,8132,7937,サービス業,9744,(株)メイテック,"188,760",---,"660,000"
32261,19892,34196,30507,25951,情報・通信,9766,コナミホールディングス(株),"938,490",1.12,"654,000"
11680,9348,6415,6397,7093,サービス業,9787,イオンディライト(株),"182,552",2.49,"337,000"
15934,20708,23249,21726,18238,卸売業,9810,日鉄物産(株),"160,731",5.23,"497,500"
92114,71395,68180,64219,59999,小売業,9843,(株)ニトリホールディングス,"2,284,864",0.70,"1,996,500"
17138,16504,24034,25601,18387,卸売業,9962,(株)ミスミグループ本社,"1,363,263",0.61,"479,500"
169847,90357,162578,154811,119280,小売業,9983,(株)ファーストリテイリング,"7,720,041",0.71,"7,278,000"
4987962,－961576,1411199,1038977,1426308,情報・通信,9984,ソフトバンクグループ(株),"11,388,724",0.67,"661,000"
